sample,date,timepoint,volume,dilution,plate,I quarter CFU,segment,II quarter CFU,Flask,CFUperML,DesiredInitialRatio,ReplicatePlateout,temperature
0.3,21.11.16,0,100,1000,nal100,4,all,,1,40000,1:1,1,30
0.3,21.11.16,0,100,100,nal100,17,all,,1,17000,1:1,2,30
0.3,21.11.16,0,100,1000,Tet,80,all,,1,800000,1:1,1,30
0.3,21.11.16,0,100,100,Tet,23,2,18,1,795000,1:1,2,30
0.3,21.11.16,2,100,10000,nal100,35,4,20,1,30600000,1:1,1,30
0.3,21.11.16,2,100,10000,nal100,29,4,36,1,36100000,1:1,2,30
0.3,21.11.16,2,100,1000,nal100,50,2,78,1,24800000,1:1,3,30
0.3,21.11.16,2,100,1,str/tet/nal,2,all,,1,20,1:1,1,30
0.3,21.11.16,2,100,10,str/tet/nal,0,all,,1,0,1:1,2,30
0.3,21.11.16,2,100,10,str/tet/nal,0,all,,1,0,1:1,3,30
0.3,21.11.16,2,100,1,str/tet/nal,0,all,,1,0,1:1,4,30
0.3,21.11.16,2,100,10000,Tet,30,all,,1,3000000,1:1,1,30
0.3,21.11.16,2,100,10000,Tet,27,all,,1,2700000,1:1,2,30
0.3,21.11.16,2,100,1000,Tet,38,4,20,1,3220000,1:1,3,30
0.3,21.11.16,3,100,100000,nal100,3,all,,1,3000000,1:1,1,30
0.3,21.11.16,3,100,100000,nal100,4,all,,1,4000000,1:1,2,30
0.3,21.11.16,3,100,10000,nal100,108,all,,1,10800000,1:1,3,30
0.3,21.11.16,3,100,10,str/tet/nal,0,all,,1,0,1:1,1,30
0.3,21.11.16,3,100,10,str/tet/nal,0,all,,1,0,1:1,2,30
0.3,21.11.16,3,100,1,str/tet/nal,15,all,,1,150,1:1,3,30
0.3,21.11.16,3,100,1,str/tet/nal,7,all,,1,70,1:1,4,30
0.3,21.11.16,3,100,100000,Tet,4,all,,1,4000000,1:1,1,30
0.3,21.11.16,3,100,100000,Tet,8,all,,1,8000000,1:1,2,30
0.3,21.11.16,3,100,10000,Tet,68,all,,1,6800000,1:1,3,30
0.3,24.11.16,0,100,1000,nal100,52,all,,3,520000,1:10,1,30
0.3,24.11.16,0,100,100,nal100,21,2,10,3,601000,1:10,2,30
0.3,24.11.16,0,100,100,Tet,168,all,,3,168000,1:10,1,30
0.3,24.11.16,0,100,10,Tet,32,2,42,3,143000,1:10,2,30
0.3,24.11.16,2,100,1000,nal100,22,1,20,3,21000000,1:10,1,30
0.3,24.11.16,2,100,10000,nal100,219,all,,3,21900000,1:10,2,30
0.3,24.11.16,2,100,10000,nal100,213,all,,3,21300000,1:10,3,30
0.3,24.11.16,2,100,1,str/tet/nal,1,all,,3,10,1:10,1,30
0.3,24.11.16,2,100,1,str/tet/nal,0,all,,3,0,1:10,2,30
0.3,24.11.16,2,100,10,str/tet/nal,0,all,,3,0,1:10,3,30
0.3,24.11.16,2,100,10,str/tet/nal,0,all,,3,0,1:10,4,30
0.3,24.11.16,2,100,100,Tet,34,3,39,3,720000,1:10,1,30
0.3,24.11.16,2,100,100,Tet,30,3,38,3,671000,1:10,2,30
0.3,24.11.16,2,100,1000,Tet,94,all,,3,940000,1:10,3,30
0.3,24.11.16,3,100,10000,nal100,20,3,14,3,33500000,1:10,1,30
0.3,24.11.16,3,100,10000,nal100,25,3,17,3,41400000,1:10,2,30
0.3,24.11.16,3,100,100000,nal100,36,all,,3,36000000,1:10,3,30
0.3,24.11.16,3,100,10,str/tet/nal,0,all,,3,0,1:10,1,30
0.3,24.11.16,3,100,10,str/tet/nal,0,all,,3,0,1:10,2,30
0.3,24.11.16,3,100,1,str/tet/nal,22,all,,3,220,1:10,3,30
0.3,24.11.16,3,100,1,str/tet/nal,22,all,,3,220,1:10,4,30
0.3,24.11.16,3,100,10000,Tet,23,all,,3,2300000,1:10,1,30
0.3,24.11.16,3,100,1000,Tet,21,4,17,3,2110000,1:10,2,30
0.3,24.11.16,3,100,1000,Tet,27,4,27,3,3000000,1:10,3,30
0.3,05.12.16,0,100,1000,nal100,48,all,,4,480000,1:10,1,30
0.3,05.12.16,0,100,100,nal100,30,5,29,4,194000,1:10,2,30
0.3,05.12.16,0,100,100,Tet,27,5,34,4,201000,1:10,1,30
0.3,05.12.16,0,100,10,Tet,45,2,33,4,151000,1:10,2,30
0.3,05.12.16,2,100,10000,nal100,30,all,,4,3000000,1:10,1,30
0.3,05.12.16,2,100,10000,nal100,32,all,,4,3200000,1:10,2,30
0.3,05.12.16,2,100,1000,nal100,140,all,,4,1400000,1:10,3,30
0.3,05.12.16,2,100,10,str/tet/nal,0,all,,4,0,1:10,1,30
0.3,05.12.16,2,100,10,str/tet/nal,0,all,,4,0,1:10,2,30
0.3,05.12.16,2,100,1,str/tet/nal,6,all,,4,60,1:10,3,30
0.3,05.12.16,2,100,1,str/tet/nal,2,all,,4,20,1:10,4,30
0.3,05.12.16,2,100,1000,Tet,170,all,,4,1700000,1:10,1,30
0.3,05.12.16,2,100,100,Tet,35,2,37,4,1400000,1:10,2,30
0.3,05.12.16,2,100,100,Tet,47,2,44,4,1760000,1:10,3,30
0.3,05.12.16,3,100,100000,nal100,103,all,,4,103000000,1:10,1,30
0.3,05.12.16,3,100,10000,nal100,27,2,30,4,110000000,1:10,2,30
0.3,05.12.16,3,100,10000,nal100,32,2,22,4,105000000,1:10,3,30
0.3,05.12.16,3,100,10,str/tet/nal,0,all,,4,0,1:10,1,30
0.3,05.12.16,3,100,10,str/tet/nal,1,all,,4,100,1:10,2,30
0.3,05.12.16,3,100,1,str/tet/nal,132,all,,4,1320,1:10,3,30
0.3,05.12.16,3,100,1,str/tet/nal,116,all,,4,1160,1:10,4,30
0.3,05.12.16,3,100,10000,Tet,42,all,,4,4200000,1:10,1,30
0.3,05.12.16,3,100,1000,Tet,34,4,40,4,4110000,1:10,2,30
0.3,05.12.16,3,100,1000,Tet,34,4,39,4,4060000,1:10,3,30
0.3,19.12.16,0,100,1000,nal100,19,all,,5,190000,1:10,1,30
0.3,19.12.16,0,100,100,nal100,118,all,,5,118000,1:10,2,30
0.3,19.12.16,0,100,100,Tet,95,all,,5,95000,1:10,1,30
0.3,19.12.16,0,100,10,Tet,40,2,23,5,122000,1:10,2,30
0.3,19.12.16,2,100,1000,nal100,31,3,26,5,5620000,1:10,1,30
0.3,19.12.16,2,100,1000,nal100,28,3,42,5,6900000,1:10,2,30
0.3,19.12.16,2,100,100,nal100,27,1,26,5,2650000,1:10,3,30
0.3,19.12.16,2,100,1,str/tet/nal,0,all,,5,0,1:10,1,30
0.3,19.12.16,2,100,1,str/tet/nal,0,all,,5,0,1:10,2,30
0.3,19.12.16,2,100,10,str/tet/nal,0,all,,5,0,1:10,3,30
0.3,19.12.16,2,100,10,str/tet/nal,0,all,,5,0,1:10,4,30
0.3,19.12.16,2,100,1000,Tet,59,all,,5,590000,1:10,1,30
0.3,19.12.16,2,100,100,Tet,33,3,21,5,533000,1:10,2,30
0.3,19.12.16,2,100,100,Tet,31,3,27,5,572000,1:10,3,30
